code_commune_insee;nom_de_la_commune;code_postal;ligne_5;libelle_d_acheminement;coordonnees_gps
03264;ST YORRE;03270;;ST YORRE;46.065828277,3.467510528
03270;SAZERET;03390;;SAZERET;46.347144616,2.969314909
03271;SERBANNES;03700;;SERBANNES;46.098702723,3.352521617
03276;SUSSAT;03450;;SUSSAT;46.152327985,3.055722577
03278;TAXAT SENAT;03140;;TAXAT SENAT;46.20755845,3.146526145
03284;THIONNE;03220;;THIONNE;46.412216108,3.573613976
03285;TORTEZAIS;03430;;TORTEZAIS;46.445516818,2.873595318
03286;TOULON SUR ALLIER;03400;;TOULON SUR ALLIER;46.510959917,3.377284483
03289;TRETEAU;03220;;TRETEAU;46.36771403,3.519790692
03295;VALIGNAT;03330;;VALIGNAT;46.174565446,3.077733671
03304;VENDAT;03110;;VENDAT;46.16167786,3.347219494
03306;LE VERNET;03200;;LE VERNET;46.106425922,3.475324068
03308;VERNUSSE;03390;;VERNUSSE;46.260203434,2.971517745
03310;VICHY;03200;;VICHY;46.129943169,3.424422311
03321;YZEURE;03400;;YZEURE;46.563772627,3.379647998
04001;AIGLUN;04510;;AIGLUN;44.063525614,6.138562636
04005;ALLONS;04170;;ALLONS;43.979944656,6.590007837
04023;BAYONS;04250;ASTOIN;BAYONS;44.325166073,6.172891445
04030;BLIEUX;04330;;BLIEUX;43.874518094,6.36267595
04033;UBAYE SERRE PONCON;04340;LA BREOLE;UBAYE SERRE PONCON;44.441498992,6.31859203
04039;CASTELLANE;04120;;CASTELLANE;43.844877027,6.490135474
04042;CASTELLET LES SAUSSES;04320;;CASTELLET LES SAUSSES;44.040311161,6.734635186
04046;LE CHAFFAUT ST JURSON;04510;;LE CHAFFAUT ST JURSON;44.023005032,6.141059648
04047;CHAMPTERCIER;04660;;CHAMPTERCIER;44.096652172,6.144287061
04051;CHATEAUNEUF MIRAVAIL;04200;;CHATEAUNEUF MIRAVAIL;44.153306084,5.717664446
04057;CLAMENSANE;04250;;CLAMENSANE;44.328611649,6.078454454
